comparison,FEATURE_ID,c1_num_reps,c2_num_reps,counts_c1_g1,counts_c1_g2,counts_c1_both,counts_c2_g1,counts_c2_g2,counts_c2_both,prior_c1_g1,prior_c1_g2,prior_c2_g1,prior_c2_g2,H3_independence_Bayes_evidence,g1_c1_sampleprop,g1_c1_theta,g1_c1_q025,g1_c1_q975,g1_c1_Bayes_evidence,g1_c1_AI_decision,g1_c2_sampleprop,g1_c2_theta,g1_c2_q025,g1_c2_q975,g1_c2_Bayes_evidence,g1_c2_AI_decision,alpha1_postmean,alpha2_postmean,c1_flag_analyze,c2_flag_analyze
line,fusion_id,3,3,237,235,93,201,275,154,0.8,0.8,0.8,0.8,0.134,0.5021,0.5032,0.4328,0.572,0.9273,0,0.4223,0.4245,0.3547,0.5025,0.0573,0,0.9962,1.1691,1,1
line,fusion_id,3,3,224,221,120,249,281,106,0.8,0.8,0.8,0.8,0.5807,0.5034,0.5035,0.4261,0.5799,0.932,0,0.4698,0.473,0.4006,0.5444,0.4653,0,0.9959,1.0587,1,1
line,fusion_id,3,3,258,182,116,243,263,121,0.8,0.8,0.8,0.8,0.0553,0.5864,0.5789,0.5077,0.6476,0.0253,1,0.4802,0.4823,0.4181,0.5483,0.5887,0,0.8544,1.0386,1,1
line,fusion_id,3,3,276,219,112,278,214,151,0.8,0.8,0.8,0.8,0.8887,0.5576,0.5509,0.4825,0.6172,0.1427,0,0.565,0.5592,0.4846,0.6294,0.122,0,0.9047,0.8898,1,1
line,fusion_id,3,3,246,281,132,209,231,123,0.8,0.8,0.8,0.8,0.8307,0.4668,0.4686,0.399,0.5407,0.3747,0,0.475,0.4783,0.4032,0.5519,0.552,0,1.068,1.0476,1,1
line,fusion_id,3,3,243,229,125,197,232,112,0.8,0.8,0.8,0.8,0.2613,0.5148,0.5136,0.4477,0.5799,0.682,0,0.4592,0.4627,0.3967,0.5296,0.2727,0,0.9753,1.0805,1,1
line,fusion_id,3,3,244,236,112,214,252,123,0.8,0.8,0.8,0.8,0.3547,0.5083,0.5083,0.4399,0.5755,0.7927,0,0.4592,0.4624,0.3955,0.5338,0.292,0,0.9857,1.0816,1,1
line,fusion_id,3,3,209,256,109,187,209,112,0.8,0.8,0.8,0.8,0.6353,0.4495,0.4532,0.386,0.52,0.174,0,0.4722,0.4754,0.4036,0.5461,0.4733,0,1.1015,1.0533,1,1
line,fusion_id,3,3,232,188,120,260,239,165,0.8,0.8,0.8,0.8,0.5967,0.5524,0.5468,0.4687,0.6219,0.22,0,0.521,0.5176,0.4376,0.5957,0.6607,0,0.9126,0.9684,1,1
line,fusion_id,3,3,219,260,115,265,238,127,0.8,0.8,0.8,0.8,0.1587,0.4572,0.4612,0.3962,0.5261,0.2227,0,0.5268,0.5253,0.4599,0.5914,0.4167,0,1.0835,0.9524,1,1
line,fusion_id,3,3,232,252,110,231,214,119,0.8,0.8,0.8,0.8,0.4273,0.4793,0.4795,0.4094,0.546,0.5493,0,0.5191,0.518,0.4484,0.5853,0.5953,0,1.0445,0.9668,1,1
line,fusion_id,3,3,217,292,99,286,268,107,0.8,0.8,0.8,0.8,0.0953,0.4263,0.4359,0.3708,0.5027,0.06,0,0.5162,0.5143,0.4478,0.5819,0.6493,0,1.1409,0.9738,1,1
line,fusion_id,3,3,223,206,131,276,245,135,0.8,0.8,0.8,0.8,0.836,0.5198,0.517,0.4391,0.59,0.6313,0,0.5298,0.5276,0.4526,0.5991,0.4527,0,0.9692,0.9487,1,1
line,fusion_id,3,3,267,314,109,277,225,125,0.8,0.8,0.8,0.8,0.102,0.4596,0.4629,0.3986,0.5299,0.2747,0,0.5518,0.5462,0.4754,0.6152,0.196,0,1.0801,0.9134,1,1
line,fusion_id,3,3,250,216,111,249,226,119,0.8,0.8,0.8,0.8,0.838,0.5365,0.5335,0.4713,0.5972,0.3067,0,0.5242,0.5234,0.4597,0.5859,0.47,0,0.9369,0.9561,1,1
line,fusion_id,3,3,211,257,115,230,219,108,0.8,0.8,0.8,0.8,0.2133,0.4509,0.4536,0.3845,0.5201,0.1613,0,0.5122,0.5126,0.4466,0.5775,0.7053,0,1.1007,0.9774,1,1
line,fusion_id,3,3,252,241,132,220,223,121,0.8,0.8,0.8,0.8,0.79,0.5112,0.5103,0.4428,0.5776,0.7367,0,0.4966,0.4978,0.4322,0.5644,0.9473,0,0.9817,1.0067,1,1
line,fusion_id,3,3,269,254,139,246,207,126,0.8,0.8,0.8,0.8,0.632,0.5143,0.512,0.4308,0.5917,0.7647,0,0.543,0.5388,0.454,0.6185,0.3413,0,0.9795,0.928,1,1
line,fusion_id,3,3,239,221,114,242,242,122,0.8,0.8,0.8,0.8,0.6967,0.5196,0.5188,0.4512,0.5835,0.5827,0,0.5,0.5012,0.4316,0.569,0.9853,0,0.9653,1,1,1
line,fusion_id,3,3,218,216,133,317,230,145,0.8,0.8,0.8,0.8,0.1433,0.5023,0.5039,0.4363,0.5724,0.9113,0,0.5795,0.5757,0.5093,0.6383,0.0253,1,0.9947,0.8597,1,1
line,fusion_id,3,3,211,220,107,200,275,128,0.8,0.8,0.8,0.8,0.18,0.4896,0.4912,0.4251,0.5602,0.7893,0,0.4211,0.4251,0.3587,0.4951,0.038,1,1.0203,1.1666,1,1
line,fusion_id,3,3,214,257,117,303,241,118,0.8,0.8,0.8,0.8,0.0487,0.4544,0.4591,0.3936,0.5272,0.2413,0,0.557,0.5536,0.4881,0.6153,0.0967,0,1.0884,0.8995,1,1
line,fusion_id,3,3,196,273,131,255,264,99,0.8,0.8,0.8,0.8,0.1613,0.4179,0.4243,0.3533,0.4947,0.0367,1,0.4913,0.4921,0.4255,0.5581,0.8247,0,1.1689,1.0185,1,1
line,fusion_id,3,3,235,261,108,249,271,133,0.8,0.8,0.8,0.8,0.93,0.4738,0.4765,0.4124,0.5406,0.4733,0,0.4788,0.4802,0.4168,0.5467,0.5173,0,1.0506,1.0428,1,1
line,fusion_id,3,3,246,201,117,216,252,149,0.8,0.8,0.8,0.8,0.202,0.5503,0.5427,0.4555,0.622,0.3093,0,0.4615,0.4664,0.3833,0.5517,0.4507,0,0.9209,1.0743,1,1
line,fusion_id,3,3,237,233,134,240,259,93,0.8,0.8,0.8,0.8,0.648,0.5043,0.5063,0.4254,0.5837,0.8593,0,0.481,0.4832,0.4119,0.5519,0.6347,0,0.9906,1.037,1,1
line,fusion_id,3,3,272,206,122,261,254,89,0.8,0.8,0.8,0.8,0.402,0.569,0.5598,0.4672,0.646,0.1893,0,0.5068,0.508,0.4243,0.5902,0.8473,0,0.8897,0.9878,1,1
line,fusion_id,3,3,238,234,113,214,232,115,0.8,0.8,0.8,0.8,0.6173,0.5042,0.5043,0.4352,0.5727,0.898,0,0.4798,0.4815,0.4147,0.5492,0.584,0,0.9938,1.0404,1,1
line,fusion_id,3,3,229,257,145,206,246,113,0.8,0.8,0.8,0.8,0.7793,0.4712,0.4736,0.4041,0.5465,0.4593,0,0.4558,0.4608,0.3931,0.5314,0.2647,0,1.0574,1.085,1,1
line,fusion_id,3,3,279,232,120,232,306,109,0.8,0.8,0.8,0.8,0.0247,0.546,0.5411,0.4727,0.604,0.2193,0,0.4312,0.4372,0.3725,0.5031,0.0587,0,0.9226,1.1379,1,1
line,fusion_id,3,3,247,240,118,235,242,110,0.8,0.8,0.8,0.8,0.7927,0.5072,0.5051,0.4397,0.5697,0.8893,0,0.4927,0.493,0.429,0.5564,0.812,0,0.992,1.0164,1,1
line,fusion_id,3,3,224,209,137,225,261,138,0.8,0.8,0.8,0.8,0.3133,0.5173,0.5178,0.4448,0.5916,0.6393,0,0.463,0.4656,0.3951,0.5365,0.3447,0,0.9677,1.0748,1,1
line,fusion_id,3,3,186,252,120,256,236,114,0.8,0.8,0.8,0.8,0.102,0.4247,0.432,0.3623,0.5066,0.078,0,0.5203,0.5175,0.4461,0.5879,0.608,0,1.1507,0.9679,1,1
line,fusion_id,3,3,245,264,111,232,273,112,0.8,0.8,0.8,0.8,0.7073,0.4813,0.4824,0.4193,0.5469,0.6013,0,0.4594,0.4642,0.3988,0.5299,0.268,0,1.0383,1.0772,1,1
line,fusion_id,3,3,230,239,122,200,233,142,0.8,0.8,0.8,0.8,0.5813,0.4904,0.4909,0.4235,0.5624,0.7867,0,0.4619,0.4639,0.3891,0.5426,0.3233,0,1.0211,1.0786,1,1
line,fusion_id,3,3,198,275,129,263,265,110,0.8,0.8,0.8,0.8,0.122,0.4186,0.4246,0.3582,0.4945,0.036,1,0.4981,0.4984,0.4315,0.564,0.946,0,1.168,1.0056,1,1
line,fusion_id,3,3,244,232,121,255,223,109,0.8,0.8,0.8,0.8,0.7147,0.5126,0.5107,0.4329,0.5887,0.7707,0,0.5335,0.5306,0.4562,0.6039,0.3993,0,0.9818,0.9429,1,1
line,fusion_id,3,3,263,198,111,224,213,120,0.8,0.8,0.8,0.8,0.2907,0.5705,0.5625,0.493,0.6275,0.0747,0,0.5126,0.5122,0.4421,0.5827,0.7207,0,0.8836,0.9783,1,1
line,fusion_id,3,3,237,217,142,263,231,123,0.8,0.8,0.8,0.8,0.8227,0.522,0.5211,0.4342,0.6077,0.6147,0,0.5324,0.5335,0.4543,0.6117,0.4073,0,0.9622,0.9378,1,1
line,fusion_id,3,3,229,219,145,210,298,98,0.8,0.8,0.8,0.8,0.1173,0.5112,0.5087,0.4321,0.5846,0.8173,0,0.4134,0.4241,0.3592,0.4972,0.042,1,0.9857,1.1691,1,1
line,fusion_id,3,3,261,215,112,297,274,110,0.8,0.8,0.8,0.8,0.6353,0.5483,0.5414,0.4722,0.6091,0.238,0,0.5201,0.518,0.4527,0.5844,0.5827,0,0.9223,0.9667,1,1
line,fusion_id,3,3,215,243,131,237,224,108,0.8,0.8,0.8,0.8,0.4007,0.4694,0.4721,0.4013,0.542,0.4487,0,0.5141,0.512,0.4446,0.5792,0.714,0,1.0605,0.9784,1,1
line,fusion_id,3,3,235,227,144,268,252,110,0.8,0.8,0.8,0.8,0.9287,0.5087,0.5074,0.4325,0.583,0.8547,0,0.5154,0.5125,0.4392,0.5858,0.7247,0,0.9882,0.9779,1,1
line,fusion_id,3,3,231,243,116,232,273,117,0.8,0.8,0.8,0.8,0.5627,0.4873,0.4895,0.4228,0.5571,0.766,0,0.4594,0.4616,0.3924,0.5306,0.2613,0,1.0238,1.0832,1,1
line,fusion_id,3,3,253,267,142,263,249,131,0.8,0.8,0.8,0.8,0.5693,0.4865,0.4871,0.4253,0.55,0.704,0,0.5137,0.5118,0.4485,0.5749,0.718,0,1.0284,0.9787,1,1
