comparison,FEATURE_ID,c1_num_reps,c2_num_reps,counts_c1_g1,counts_c1_g2,counts_c1_both,counts_c2_g1,counts_c2_g2,counts_c2_both,prior_c1_g1,prior_c1_g2,prior_c2_g1,prior_c2_g2,H3_independence_Bayes_evidence,probofsameAI,g1_c1_sampleprop,g1_c1_theta,g1_c1_q025,g1_c1_q975,g1_c1_Bayes_evidence,g1_c1_AI_decision,g1_c2_sampleprop,g1_c2_theta,g1_c2_q025,g1_c2_q975,g1_c2_Bayes_evidence,g1_c2_AI_decision,alpha1_postmean,alpha2_postmean,sigma_alpha_mean,sigma_alpha_0.5,sigma_alpha_0.95,c1_flag_analyze,c2_flag_analyze
line,fusion_id,3,3,193,210,109,247,240,128,0.8,0.8,0.8,0.8,0.896,0.951399058197016,0.4789,0.4947,0.4436,0.5475,0.832,0,0.5072,0.4965,0.4449,0.5479,0.886,0,1.012,1.0085,0.805358,0.706928,1.952864,1,1
line,fusion_id,3,3,204,230,139,253,259,131,0.8,0.8,0.8,0.8,0.950666666666667,0.95108479443225,0.47,0.4802,0.419,0.5427,0.5027,0,0.4941,0.4811,0.4194,0.5429,0.5033,0,1.0425,1.0407,0.805324,0.686423,1.980546,1,1
line,fusion_id,3,3,264,247,117,200,233,143,0.8,0.8,0.8,0.8,0.836,0.952318322780737,0.5166,0.4934,0.4392,0.5513,0.8047,0,0.4619,0.4908,0.4376,0.5491,0.7373,0,1.0148,1.0203,0.813958,0.686326,1.980922,1,1
line,fusion_id,3,3,243,238,101,241,241,142,0.8,0.8,0.8,0.8,0.979333333333333,0.95188653744788,0.5052,0.5031,0.4517,0.5571,0.906,0,0.5,0.5028,0.4513,0.5562,0.9293,0,0.9952,0.9958,0.819747,0.700075,1.960013,1,1
line,fusion_id,3,3,210,291,114,207,233,153,0.8,0.8,0.8,0.8,0.831333333333333,0.950855528823889,0.4192,0.4423,0.3843,0.5018,0.0567,0,0.4705,0.4448,0.3865,0.5042,0.0693,0,1.1252,1.1198,0.787308,0.652982,1.992689,1,1
line,fusion_id,3,3,246,280,124,265,256,135,0.8,0.8,0.8,0.8,0.816666666666667,0.953090650979736,0.4677,0.4884,0.436,0.5426,0.6613,0,0.5086,0.4911,0.4369,0.545,0.74,0,1.0251,1.0195,0.798955,0.685159,1.951574,1,1
line,fusion_id,3,3,249,184,114,224,242,132,0.8,0.8,0.8,0.8,0.7,0.950395833422182,0.5751,0.529,0.4705,0.5888,0.3293,0,0.4807,0.5231,0.4598,0.5817,0.4293,0,0.9452,0.9564,0.814214,0.692961,1.95778,1,1
line,fusion_id,3,3,233,235,84,270,268,115,0.8,0.8,0.8,0.8,0.994,0.951181237722593,0.4979,0.499,0.4403,0.5551,0.976,0,0.5019,0.4991,0.4405,0.5552,0.9887,0,1.0038,1.0036,0.789393,0.669602,1.950921,1,1
line,fusion_id,3,3,230,251,103,248,224,129,0.8,0.8,0.8,0.8,0.832666666666667,0.951286175033153,0.4782,0.5009,0.4456,0.5564,0.982,0,0.5254,0.504,0.4472,0.5603,0.8887,0,0.9998,0.9937,0.813639,0.700371,2.010922,1,1
line,fusion_id,3,3,214,238,130,265,201,105,0.8,0.8,0.8,0.8,0.639333333333333,0.950239818375826,0.4735,0.5176,0.4631,0.5727,0.516,0,0.5687,0.5247,0.472,0.5793,0.348,0,0.9668,0.9531,0.808892,0.677827,2.037929,1,1
line,fusion_id,3,3,249,227,118,286,249,134,0.8,0.8,0.8,0.8,0.932666666666667,0.95114586977058,0.5231,0.5279,0.481,0.577,0.2393,0,0.5346,0.5291,0.4828,0.5794,0.224,0,0.9467,0.9444,0.816001,0.696208,1.952308,1,1
line,fusion_id,3,3,198,209,114,254,250,99,0.8,0.8,0.8,0.8,0.947333333333333,0.952409659569803,0.4865,0.4962,0.442,0.549,0.8767,0,0.504,0.4974,0.4426,0.5521,0.9093,0,1.0091,1.0068,0.804821,0.674962,1.993064,1,1
line,fusion_id,3,3,244,267,115,252,273,129,0.8,0.8,0.8,0.8,0.978,0.952933072507551,0.4775,0.4784,0.4242,0.5278,0.3893,0,0.48,0.4783,0.425,0.529,0.4013,0,1.0458,1.0459,0.804663,0.702112,1.942212,1,1
line,fusion_id,3,3,248,268,123,212,242,110,0.8,0.8,0.8,0.8,0.949333333333333,0.950607281294173,0.4806,0.4749,0.4165,0.5352,0.384,0,0.467,0.4738,0.4127,0.5347,0.3727,0,1.0536,1.056,0.802492,0.654052,2.030174,1,1
line,fusion_id,3,3,245,243,136,249,233,138,0.8,0.8,0.8,0.8,0.950666666666667,0.951268800836336,0.502,0.5101,0.4588,0.5594,0.6787,0,0.5166,0.5111,0.4596,0.5633,0.6527,0,0.9812,0.9793,0.796119,0.682319,1.909678,1,1
line,fusion_id,3,3,231,223,131,209,251,111,0.8,0.8,0.8,0.8,0.841333333333333,0.950899597877782,0.5088,0.4834,0.4292,0.5385,0.5307,0,0.4543,0.4796,0.4242,0.5338,0.4453,0,1.0355,1.0435,0.805637,0.698931,1.916272,1,1
line,fusion_id,3,3,255,225,121,288,234,97,0.8,0.8,0.8,0.8,0.918666666666667,0.951342414198048,0.5312,0.5403,0.4891,0.5885,0.1213,0,0.5517,0.5415,0.4896,0.5895,0.1093,0,0.9234,0.9212,0.81121,0.693342,1.927289,1,1
line,fusion_id,3,3,195,250,118,238,216,106,0.8,0.8,0.8,0.8,0.647333333333333,0.951775972827465,0.4382,0.4791,0.4321,0.5297,0.3773,0,0.5242,0.4848,0.4386,0.5349,0.5067,0,1.044,1.0322,0.824346,0.70499,1.973151,1,1
line,fusion_id,3,3,226,199,102,265,239,119,0.8,0.8,0.8,0.8,0.971333333333333,0.95166808744228,0.5318,0.5278,0.4784,0.5761,0.2567,0,0.5258,0.5275,0.4798,0.5779,0.254,0,0.9469,0.9474,0.811132,0.679269,2.044095,1,1
line,fusion_id,3,3,233,225,108,258,247,131,0.8,0.8,0.8,0.8,0.964666666666667,0.951080075198151,0.5087,0.5108,0.454,0.5637,0.6867,0,0.5109,0.511,0.455,0.5641,0.686,0,0.9801,0.9798,0.794322,0.665134,1.947782,1,1
line,fusion_id,3,3,226,251,124,276,224,112,0.8,0.8,0.8,0.8,0.755333333333333,0.951352921315948,0.4738,0.5087,0.4458,0.5715,0.7707,0,0.552,0.5136,0.449,0.5774,0.6613,0,0.9846,0.9752,0.79168,0.675939,1.932425,1,1
line,fusion_id,3,3,247,221,112,239,260,122,0.8,0.8,0.8,0.8,0.818666666666667,0.953027244647525,0.5278,0.5056,0.4575,0.5527,0.8167,0,0.479,0.5024,0.4543,0.5492,0.9313,0,0.9901,0.9964,0.804203,0.668304,1.996651,1,1
line,fusion_id,3,3,288,212,118,209,269,108,0.8,0.8,0.8,0.8,0.483333333333333,0.948368289107087,0.576,0.516,0.4563,0.5899,0.634,0,0.4372,0.4988,0.4254,0.5572,0.972,0,0.9704,1.0046,0.79226,0.678935,1.881199,1,1
line,fusion_id,3,3,210,220,118,190,214,117,0.8,0.8,0.8,0.8,0.923333333333333,0.95173190989603,0.4884,0.48,0.4315,0.5324,0.4473,0,0.4703,0.4785,0.4297,0.5299,0.4227,0,1.0424,1.0456,0.817931,0.699982,1.946287,1,1
line,fusion_id,3,3,272,273,97,234,285,139,0.8,0.8,0.8,0.8,0.817333333333333,0.951696394684284,0.4991,0.4773,0.4247,0.5315,0.3813,0,0.4509,0.4745,0.4217,0.5288,0.3373,0,1.048,1.0542,0.823498,0.69992,1.946227,1,1
line,fusion_id,3,3,289,227,135,212,245,93,0.8,0.8,0.8,0.8,0.721333333333333,0.951866316876128,0.5601,0.5137,0.4497,0.5805,0.686,0,0.4639,0.5083,0.4434,0.5741,0.8067,0,0.9751,0.9858,0.790149,0.67032,1.974429,1,1
line,fusion_id,3,3,276,197,119,236,228,135,0.8,0.8,0.8,0.8,0.749333333333333,0.952868773736282,0.5835,0.547,0.4877,0.6044,0.1107,0,0.5086,0.5426,0.4851,0.5997,0.138,0,0.9113,0.9195,0.801184,0.671243,1.999902,1,1
line,fusion_id,3,3,217,239,128,266,266,113,0.8,0.8,0.8,0.8,0.905333333333333,0.952335623070331,0.4759,0.4885,0.4395,0.5371,0.656,0,0.5,0.4901,0.441,0.5395,0.6913,0,1.0247,1.0215,0.803912,0.668744,2.008739,1,1
line,fusion_id,3,3,288,258,93,215,212,110,0.8,0.8,0.8,0.8,0.880666666666667,0.952219603411581,0.5275,0.5163,0.4611,0.5686,0.548,0,0.5035,0.5145,0.4589,0.5676,0.6013,0,0.9692,0.9729,0.804251,0.663863,1.978486,1,1
line,fusion_id,3,3,272,200,120,264,238,110,0.8,0.8,0.8,0.8,0.836,0.95094190392787,0.5763,0.551,0.4912,0.6075,0.082,0,0.5259,0.5478,0.4875,0.6035,0.102,0,0.9039,0.9099,0.796398,0.669717,1.991143,1,1
line,fusion_id,3,3,215,287,137,230,238,119,0.8,0.8,0.8,0.8,0.752,0.952455754741,0.4283,0.4567,0.4037,0.5081,0.108,0,0.4915,0.4611,0.4073,0.5138,0.1447,0,1.0925,1.083,0.807975,0.689907,1.949896,1,1
line,fusion_id,3,3,197,231,103,247,238,111,0.8,0.8,0.8,0.8,0.817333333333333,0.950780540144378,0.4603,0.4845,0.4352,0.5371,0.5447,0,0.5093,0.4873,0.4377,0.5385,0.6133,0,1.0331,1.0271,0.820436,0.696939,1.994944,1,1
line,fusion_id,3,3,223,229,112,211,304,124,0.8,0.8,0.8,0.8,0.696666666666667,0.953463034944508,0.4934,0.4532,0.4034,0.5021,0.0653,0,0.4097,0.4479,0.3972,0.4988,0.044,1,1.1002,1.112,0.803311,0.698203,1.923405,1,1
line,fusion_id,3,3,221,288,117,272,249,104,0.8,0.8,0.8,0.8,0.697333333333333,0.949941022079843,0.4342,0.4747,0.4124,0.5339,0.4073,0,0.5221,0.4837,0.4212,0.5506,0.562,0,1.0543,1.0354,0.791729,0.657445,1.911287,1,1
line,fusion_id,3,3,275,240,125,193,277,122,0.8,0.8,0.8,0.8,0.526666666666667,0.947773266003974,0.534,0.4832,0.4299,0.5496,0.5213,0,0.4106,0.4664,0.3897,0.5233,0.2493,0,1.0362,1.0723,0.800816,0.667445,1.969414,1,1
line,fusion_id,3,3,232,257,110,292,209,125,0.8,0.8,0.8,0.8,0.634666666666667,0.9517940942253,0.4744,0.5254,0.4621,0.5829,0.3847,0,0.5828,0.532,0.4713,0.5922,0.2827,0,0.9521,0.9396,0.806062,0.666159,1.975268,1,1
line,fusion_id,3,3,242,232,133,210,208,129,0.8,0.8,0.8,0.8,0.963333333333333,0.950705926494993,0.5105,0.5069,0.4513,0.5633,0.806,0,0.5024,0.5063,0.4477,0.5644,0.818,0,0.988,0.9892,0.800887,0.683013,1.972892,1,1
line,fusion_id,3,3,228,261,121,206,209,122,0.8,0.8,0.8,0.8,0.859333333333333,0.950811424967516,0.4663,0.4796,0.4261,0.534,0.442,0,0.4964,0.4816,0.4273,0.5338,0.5,0,1.0433,1.0393,0.804845,0.699626,1.92101,1,1
line,fusion_id,3,3,198,200,114,243,228,89,0.8,0.8,0.8,0.8,0.958,0.950141825494063,0.4975,0.5063,0.4489,0.5635,0.8007,0,0.5159,0.5068,0.4496,0.5643,0.802,0,0.9892,0.9882,0.812886,0.681647,1.964588,1,1
line,fusion_id,3,3,238,300,107,236,239,116,0.8,0.8,0.8,0.8,0.820666666666667,0.950558999557224,0.4424,0.4671,0.4162,0.5194,0.2,0,0.4968,0.4711,0.417,0.527,0.2667,0,1.0699,1.0614,0.761467,0.635145,1.917398,1,1
line,fusion_id,3,3,241,221,123,245,254,129,0.8,0.8,0.8,0.8,0.872666666666667,0.952509825086069,0.5216,0.5069,0.4593,0.5545,0.7853,0,0.491,0.5049,0.4581,0.5533,0.8327,0,0.9874,0.9914,0.818284,0.71213,1.949287,1,1
line,fusion_id,3,3,237,235,93,201,275,154,0.8,0.8,0.8,0.8,0.731333333333333,0.951027732178139,0.5021,0.4657,0.4054,0.5247,0.2433,0,0.4223,0.4606,0.4001,0.5199,0.1867,0,1.0734,1.0846,0.804705,0.67461,1.986195,1,1
line,fusion_id,3,3,224,221,120,249,281,106,0.8,0.8,0.8,0.8,0.869333333333333,0.952999358544498,0.5034,0.4887,0.4362,0.5452,0.6633,0,0.4698,0.4868,0.4357,0.5421,0.6247,0,1.0246,1.0283,0.799574,0.682731,1.958136,1,1
line,fusion_id,3,3,258,182,116,243,263,121,0.8,0.8,0.8,0.8,0.605333333333333,0.95057682580392,0.5864,0.5367,0.4834,0.5984,0.184,0,0.4802,0.5256,0.4693,0.58,0.346,0,0.9304,0.9515,0.783233,0.66405,1.965681,1,1
line,fusion_id,3,3,276,219,112,278,214,151,0.8,0.8,0.8,0.8,0.941333333333333,0.951678467152087,0.5576,0.5598,0.5031,0.6162,0.0413,1,0.565,0.5607,0.5024,0.6171,0.0427,1,0.8878,0.8862,0.820185,0.677949,1.974725,1,1
line,fusion_id,3,3,246,281,132,209,231,123,0.8,0.8,0.8,0.8,0.971333333333333,0.953222405507025,0.4668,0.4693,0.4179,0.5232,0.27,0,0.475,0.47,0.4171,0.5245,0.2807,0,1.0652,1.0637,0.821676,0.698194,1.951117,1,1
line,fusion_id,3,3,243,229,125,197,232,112,0.8,0.8,0.8,0.8,0.759333333333333,0.952012970086941,0.5148,0.4888,0.4392,0.5413,0.6513,0,0.4592,0.4844,0.4309,0.5361,0.5393,0,1.024,1.0333,0.786336,0.648338,1.973053,1,1
line,fusion_id,3,3,244,236,112,214,252,123,0.8,0.8,0.8,0.8,0.770666666666667,0.951922004108082,0.5083,0.4884,0.4369,0.5396,0.67,0,0.4592,0.485,0.4344,0.5362,0.564,0,1.0251,1.032,0.811535,0.690191,1.973884,1,1
